Nombre,N1,N2,N3,N4,Puntaje
 king betio01,1,0,0,0,1
 sam 1101,2,0,0,0,2
 claudilal,4,0,1,0,20
 eraclium,2,0,0,0,2
 001padre,7,0,0,0,7
 ca0sss,1,0,0,0,1
 carolus6,2,1,0,0,4
 zionburn,1,0,0,0,1
 vainilla,1,1,0,0,3
 vizconde puf,1,0,0,0,1
 theriver2007,5,0,0,0,5
 n4 versachi,4,0,0,0,4
 bri1mrcelo,0,2,0,0,4
 rp d,1,0,0,0,1
rpd,1,0,0,0,1
 freya2111,2,0,0,0,2
 xacobeo21,1,0,0,0,1
 chuki 03,2,1,0,0,4
 king beti001,1,0,0,0,1
 gadriels,2,0,0,0,2
 leap 16,1,0,0,0,1
 vil mentira,6,0,0,0,6
 jocs4,2,0,0,0,2
 gracy lu,1,0,0,0,1
 adadi,1,0,0,0,1
 dyk12,2,1,0,0,4
 lordkanino19,5,1,1,0,23
 jesus1478 3,1,0,0,0,1
 jose rosario,2,0,0,0,2
 br1mrcelo,0,1,0,0,2
 nathy7,2,0,0,0,2
 srcel,1,0,0,0,1
 juan d98,1,1,0,0,3
 vd versachi,1,0,0,0,1
 kingalexx27,1,0,0,0,1
 wirito,1,0,0,0,1
 deathiro,0,1,0,0,2
 sathariel 69,2,0,0,0,2
 joselito170,1,0,0,0,1
 zlondies,1,0,0,0,1
 zionhated,2,0,0,0,2
 elver,1,0,0,0,1
