Nombre,N1,N2,N3,N4,Puntaje
 sathariel 69,22,0,0,0,22
 juan d98,6,5,0,0,16
 vainilla,13,4,0,0,21
 king betio01,5,0,0,0,5
 n4 versachi,29,0,0,0,29
 jose rosario,9,0,1,0,25
rpd,17,0,0,0,17
 deathiro,7,3,1,0,29
 oscar asis04,9,0,0,0,9
 wirito,9,0,0,0,9
 hirowiro,10,1,0,0,12
 kingalexx27,17,0,0,0,17
 zlonburn,3,0,0,0,3
 theriver2007,14,0,0,0,14
 zionhated,3,0,0,0,3
 ziondies,7,0,0,0,7
 claudilal,6,5,0,0,16
 ca0sss,7,0,0,0,7
 br1mrcelo,25,1,0,0,27
 lordkanino19,19,14,2,0,79
 vil mentira,36,2,0,0,40
 sam 1101,7,0,0,0,7
 elver,11,0,0,0,11
 vo versachi,1,0,0,0,1
 dyk12,9,0,0,0,9
 rp d,15,0,0,0,15
 vd versachi,2,2,0,0,6
 jesus1478 3,7,0,0,0,7
 vizconde puf,9,0,0,0,9
 freya2111,3,0,0,0,3
 joselito170,4,0,0,0,4
 srcel,4,0,0,0,4
 eraclium,5,0,0,0,5
 eracllum,1,0,0,0,1
 jocs4,27,0,0,0,27
 nathy7,10,0,0,0,10
 mmark,5,0,0,0,5
 97azteca97,14,2,0,0,18
 xxaztecaxxl,2,0,0,0,2
 lady kastrel,2,0,0,0,2
 king beti001,1,0,0,0,1
 sternercrono,2,0,0,0,2
 gracy lu,10,0,0,0,10
 chuki 03,14,0,0,0,14
 sternercrons,2,0,0,0,2
 djkead,2,0,0,0,2
 001padre,14,0,0,0,14
 jesus1479,2,0,0,0,2
 kinichi,4,0,0,0,4
 gadriels,9,0,0,0,9
 zlonhated,3,0,0,0,3
 carolus6,13,2,0,0,17
 adadi,4,0,0,0,4
 bri1mrcelo,5,0,0,0,5
 xxaztecaxx1,1,0,0,0,1
 zionburn,6,0,0,0,6
 ghost011,4,0,0,0,4
 dolly lady,1,0,0,0,1
 zlondies,1,1,0,0,3
 xacobeo21,6,0,0,0,6
 claudiial,0,1,1,0,18
 leap 16,1,0,0,0,1
 el cazador11,1,0,0,0,1
