Nombre,N1,N2,N3,N4,Total,Puntaje
Vainilla,0,0,0,0,0,0
Br1Mrcelo,0,0,0,0,0,0
LordKanino19,0,0,0,0,0,0
R P D,0,0,0,0,0,0
212D,0,0,0,0,0,0
AntiZion,0,0,0,0,0,0
Conde Puf,0,0,0,0,0,0
deathiro,0,0,0,0,0,0
Diofanto,0,0,0,0,0,0
El Templari0,0,0,0,0,0,0
hirowiro,0,0,0,0,0,0
Jocs4,0,0,0,0,0,0
MoRRiGaNC,0,0,0,0,0,0
N4 Versachi,0,0,0,0,0,0
Nathy7,0,0,0,0,0,0
SAM 1101,0,0,0,0,0,0
Sathariel 69,0,0,0,0,0,0
wirito,0,0,0,0,0,0
001padre,0,0,0,0,0,0
001padre2,0,0,0,0,0,0
DyK12,0,0,0,0,0,0
e1ver,0,0,0,0,0,0
Freya2111,0,0,0,0,0,0
GadrielS,0,0,0,0,0,0
HaRaKirY,0,0,0,0,0,0
Jesus1478 3,0,0,0,0,0,0
Jesus1479,0,0,0,0,0,0
Joselito170,0,0,0,0,0,0
JuanD98,0,0,0,0,0,0
KingAlexx27,0,0,0,0,0,0
srce1,0,0,0,0,0,0
theriver2007,0,0,0,0,0,0
Xacobeo21,0,0,0,0,0,0
YxXSimbaxXY,0,0,0,0,0,0
ADADI,0,0,0,0,0,0
ca0sss,0,0,0,0,0,0
carlos ecf,0,0,0,0,0,0
Eraclium,0,0,0,0,0,0
jose rosario,0,0,0,0,0,0
MiguelDH,0,0,0,0,0,0
Mmark,0,0,0,0,0,0
XxCrisbelyxX,0,0,0,0,0,0
yeison 27,0,0,0,0,0,0
