Nombre,N1,N2,N3,N4,Puntaje
lordkanino,9,7,2,0,35
dyk,7,3,0,0,13
theriver,10,0,0,0,10
wirito,8,0,0,0,8
hirowiro,11,0,0,0,9
sam,1,1,0,0,3
elver,5,0,0,0,3
nathy,7,0,0,0,7
mmark,3,0,0,0,3
zlonburn,1,0,0,0,1
zionhated,1,0,0,0,1
ziondies,1,0,0,0,1
diofanto,2,2,0,0,6
juand,0,3,1,0,22
nversachi,1,5,0,0,11
xxaztecaxx,2,0,0,0,2
adadi,2,0,0,0,1
jocs,4,2,0,0,5
joserosario,3,0,0,0,2
eltemplari,4,0,0,0,3
condepuf,5,0,0,0,5
xacobeo,5,0,0,0,5
joselito,3,0,0,0,1
srcel,4,0,0,0,2
morriganc,0,3,0,0,6
deathiro,0,3,0,0,6
yxwxsimbaxxy,1,0,0,0,1
eracllum,2,0,0,0,2
yxxsimbaxxy,2,0,0,0,2
vainilla,0,3,0,0,6
padre,3,0,0,0,3
sathariel,7,0,0,0,7
casss,4,0,0,0,3
brmrcelo,11,0,0,0,11
brimrcelo,1,0,0,0,1
gadriels,4,0,0,0,1
versachi,0,2,0,0,4
negrovnz,2,0,0,0,1
elnegrovnz,1,0,0,0,1
rpd,1,0,1,0,16
