Nombre,N1,N2,N3,N4,Total,Puntaje
morriganc,1,5,0,0,6,11
xacobeo21,7,0,0,0,7,7
lordkanino19,9,4,0,0,13,17
eracllum,1,0,0,0,1,1
rpd,0,6,5,2,13,220
ziondies,4,0,0,0,4,4
zlondies,2,0,0,0,2,2
n4versachi,0,1,0,0,1,2
br1mrcelo,3,2,0,0,5,7
theriver2007,5,0,0,0,5,5
diofanto,4,3,0,0,7,10
ca0sss,3,0,0,0,3,3
elver,5,1,0,0,6,7
eltemplari0,2,0,0,0,2,2
joselito170,1,0,0,0,1,1
condepuf,3,0,0,0,3,3
yxxsimbaxxy,2,0,0,0,2,2
srcel,3,0,0,0,3,3
adadi,2,0,0,0,2,2
dyk12,11,0,0,0,11,11
nathy7,4,0,0,0,4,4
jocs4,6,1,0,0,7,8
yeison27,3,0,0,0,3,3
migueldh,1,0,0,0,1,1
mmark,1,0,0,0,1,1
212d,3,0,0,0,3,3
2120,0,1,0,0,1,2
eraclium,3,0,0,0,3,3
vainilla,6,1,0,0,7,8
001padre,2,0,0,0,2,2
sathariel69,7,0,0,0,7,7
juand98,1,1,5,0,7,83
kingalexx27,10,0,0,0,10,10
sam1101,1,0,0,0,1,1
wirito,2,1,0,0,3,4
deathiro,0,2,0,0,2,4
jesus1479,1,0,0,0,1,1
hirowiro,2,0,0,0,2,2
gadriels,2,0,0,0,2,2
