Nombre,N1,N2,N3,N4,Total,Puntaje
LordKanino19,8,3,0,0,11,20
Vainilla,10,1,0,0,11,14
R P D,0,11,2,0,13,76
Jocs4,2,2,0,0,4,10
Juan D98,0,0,0,0,0,0
61JC,5,2,1,0,8,29
Arkeus11,0,0,0,0,0,0
El Otaku 01,2,2,1,0,5,26
Dark Falkor,12,1,0,0,13,16
deathiro,0,1,1,0,2,20
Duque Puf,7,0,0,0,7,7
Conde Puf,0,0,0,0,0,0
Marques Puf,0,0,0,0,0,0
El Templari0,10,0,0,0,10,10
FoodFarmer12,0,0,0,0,0,0
HaRaKirY,0,0,0,0,0,0
hirowiro,0,0,0,0,0,0
HusKerss,0,0,0,0,0,0
FARAON 27,0,4,0,0,4,16
Joselito170,5,0,0,0,5,5
L O N E Y 5,0,0,0,0,0,0
MoRRiGaNC,0,0,0,0,0,0
Nathy7,6,2,0,0,8,14
ErrePeDe II,1,0,0,0,1,1
srce1,3,0,0,0,3,3
theriver2007,11,1,0,0,12,15
Vil Mentira,1,8,0,0,9,33
Un Weon XD,0,0,0,0,0,0
RataD2Patas,0,0,0,0,0,0
wirito,0,0,0,0,0,0
001padre,13,0,0,0,13,13
el poro 123,8,1,0,0,9,12
KingAlexx27,0,2,0,0,2,8
Leandro2505,0,0,0,0,0,0
leito ortiz,2,0,0,0,2,2
leonardo02,0,1,0,0,1,4
Melonidas 1,15,0,0,0,15,15
MiguelDH,4,0,0,0,4,4
WOLFBYCK9812,3,0,0,0,3,3
001padre2,1,1,0,0,2,5
ADADI,3,0,0,0,3,3
Anabell 21,0,0,0,0,0,0
auxiliar 1,0,0,0,0,0,0
Eraclium,2,3,0,0,5,14
Freya2111,1,0,0,0,1,1
GadrielS,3,0,0,0,3,3
GalaicusGZ,0,0,0,0,0,0
Goku 32,0,0,0,0,0,0
Hogan bob,0,0,0,0,0,0
Imp0st0r 882,0,0,0,0,0,0
jungle 01,1,0,0,0,1,1
Jvillafuerte,0,0,0,0,0,0
kim jennie06,0,0,0,0,0,0
LOBO SERVERO,0,0,0,0,0,0
lord dan49,0,0,0,0,0,0
LordSerged,0,0,0,0,0,0
MaRk 25,4,0,0,0,4,4
Mmark,6,0,0,0,6,6
SoloGozalo,3,0,0,0,3,3
vaspin,0,0,0,0,0,0
Chuki 03,0,0,0,0,0,0
JVip 1,3,0,0,0,3,3
JVip 2,5,0,0,0,5,5
JVip 3,0,0,0,0,0,0
Annderszonn,0,0,0,0,0,0
MONSTER 100k,4,0,0,0,4,4
Goku | Ultra,0,0,0,0,0,0
adolfo22,0,0,0,0,0,0
66 quetoi 66,0,0,0,0,0,0
66quetoi66,0,3,0,0,3,12
agus alaimo,0,1,0,0,1,4
Asap Priya,0,0,0,0,0,0
1Tom Holland,0,0,0,0,0,0
2Tio ben,0,0,0,0,0,0
G HOST R1DER,1,3,2,0,6,45
mau mau 02,4,0,0,0,4,4
Thong dubai,0,0,0,0,0,0
cris SL,1,0,0,0,1,1
61odin,2,1,0,0,3,6
66que toi,4,0,0,0,4,4
DirEnGrey69,0,0,0,0,0,0
HAESP4RTANOS,4,2,0,0,6,12
Hijo de Cain,0,1,0,0,1,4
Jalejo,7,0,0,0,7,7
JVip 1,3,0,0,0,3,3
JVip 2,5,0,0,0,5,5
JVip 3,0,0,0,0,0,0
12Leviatan94,3,0,0,0,3,3
Ako Tamaki,0,0,0,0,0,0
Ghost Fight5,0,0,0,0,0,0
Gogeta29,2,0,0,0,2,2
Goku 29,0,0,0,0,0,0
Hannabi9,0,0,0,0,0,0
huybao dubai,1,0,0,0,1,1
isi Predator,1,0,0,0,1,1
Itachi29,0,0,0,0,0,0
KING HATIM,0,0,0,0,0,0
LH FurryXia,2,0,0,0,2,2
lord lemang,0,0,0,0,0,0
Ma Ru Ch An,0,0,0,0,0,0
MarisolXD123,6,0,0,0,6,6
duc ro,1,0,0,0,1,1
Nephilim95,5,1,0,0,6,9
O N I R I A,0,0,0,0,0,0
POTTER31,2,1,0,0,3,6
MilesMorales,0,0,0,0,0,0
Realismailuh,0,0,0,0,0,0
salvador8i,2,0,0,0,2,2
sheriffking,1,0,0,0,1,1
Stone Farm,0,0,0,0,0,0
thongdubai2,1,2,0,0,3,9
Usman safdar,0,0,0,0,0,0
Wendy 29,0,1,0,0,1,4
